datetime,co
01-01-2023 00:00,1.82
01-01-2023 01:00,1.62
01-01-2023 02:00,1.36
01-01-2023 03:00,1.25
01-01-2023 04:00,1.41
01-01-2023 05:00,1.37
01-01-2023 06:00,1.24
01-01-2023 07:00,1.18
01-01-2023 08:00,1.41
01-01-2023 09:00,1.46
01-01-2023 10:00,1.33
01-01-2023 11:00,1.34
01-01-2023 12:00,1.11
01-01-2023 13:00,1.01
01-01-2023 14:00,1.19
01-01-2023 15:00,1.1
01-01-2023 16:00,1.15
01-01-2023 17:00,1.32
01-01-2023 18:00,1.81
01-01-2023 19:00,2.88
01-01-2023 20:00,2.82
01-01-2023 21:00,2.75
01-01-2023 22:00,3.62
01-01-2023 23:00,3.87
02-01-2023 00:00,2.08
02-01-2023 01:00,1.86
02-01-2023 02:00,2.04
02-01-2023 03:00,1.81
02-01-2023 04:00,1.62
02-01-2023 05:00,1.55
02-01-2023 06:00,1.7
02-01-2023 07:00,1.71
02-01-2023 08:00,1.695
02-01-2023 09:00,1.68
02-01-2023 10:00,1.54
02-01-2023 11:00,1.58
02-01-2023 12:00,1.49
02-01-2023 13:00,1.36
02-01-2023 14:00,1.45
02-01-2023 15:00,1.58
02-01-2023 16:00,1.62
02-01-2023 17:00,1.87
02-01-2023 18:00,2.25
02-01-2023 19:00,2.03
02-01-2023 20:00,2.35
02-01-2023 21:00,2.29
02-01-2023 22:00,2.17
02-01-2023 23:00,2.1
03-01-2023 00:00,1.46
03-01-2023 01:00,1.27
03-01-2023 02:00,1.15
03-01-2023 03:00,1.25
03-01-2023 04:00,1.34
03-01-2023 05:00,1.41
03-01-2023 06:00,1.4
03-01-2023 07:00,1.41
03-01-2023 08:00,1.53
03-01-2023 09:00,1.55
03-01-2023 10:00,1.47
03-01-2023 11:00,1.46
03-01-2023 12:00,1.53
03-01-2023 13:00,1.59
03-01-2023 14:00,1.57
03-01-2023 15:00,1.4
03-01-2023 16:00,1.64
03-01-2023 17:00,1.76
03-01-2023 18:00,1.64
03-01-2023 19:00,1.97
03-01-2023 20:00,2.37
03-01-2023 21:00,2.11
03-01-2023 22:00,1.72
03-01-2023 23:00,1.55
04-01-2023 00:00,1.55
04-01-2023 01:00,1.43
04-01-2023 02:00,1.32
04-01-2023 03:00,1.4
04-01-2023 04:00,1.06
04-01-2023 05:00,1.15
04-01-2023 06:00,1.14
04-01-2023 07:00,1.36
04-01-2023 08:00,1.27
04-01-2023 09:00,1.17
04-01-2023 10:00,1.42
04-01-2023 11:00,1.42
04-01-2023 12:00,1.71
04-01-2023 13:00,1.81
04-01-2023 14:00,1.48
04-01-2023 15:00,1.27
04-01-2023 16:00,1.81
04-01-2023 17:00,1.77
04-01-2023 18:00,2.17
04-01-2023 19:00,2.41
04-01-2023 20:00,2.8
04-01-2023 21:00,1.94
04-01-2023 22:00,2.06
04-01-2023 23:00,2.12
05-01-2023 00:00,1.71
05-01-2023 01:00,1.33
05-01-2023 02:00,1.27
05-01-2023 03:00,1.09
05-01-2023 04:00,1.42
05-01-2023 05:00,1.41
05-01-2023 06:00,1.28
05-01-2023 07:00,1.36
05-01-2023 08:00,1.3
05-01-2023 09:00,1.16
05-01-2023 10:00,1.71
05-01-2023 11:00,1.82
05-01-2023 12:00,2.14
05-01-2023 13:00,1.94
05-01-2023 14:00,1.91
05-01-2023 15:00,1.84
05-01-2023 16:00,1.89
05-01-2023 17:00,1.91
05-01-2023 18:00,2.12
05-01-2023 19:00,2.55
05-01-2023 20:00,3.35
05-01-2023 21:00,3.82
05-01-2023 22:00,2.37
05-01-2023 23:00,2.12
06-01-2023 00:00,2.2
06-01-2023 01:00,1.81
06-01-2023 02:00,1.8
06-01-2023 03:00,1.65
06-01-2023 04:00,1.48
06-01-2023 05:00,1.47
06-01-2023 06:00,1.39
06-01-2023 07:00,1.36
06-01-2023 08:00,1.85
06-01-2023 09:00,1.88
06-01-2023 10:00,1.99
06-01-2023 11:00,2.18
06-01-2023 12:00,1.86
06-01-2023 13:00,1.58
06-01-2023 14:00,2.1
06-01-2023 15:00,2.07
06-01-2023 16:00,1.95
06-01-2023 17:00,2.06
06-01-2023 18:00,2.9
06-01-2023 19:00,2.9
06-01-2023 20:00,2.28
06-01-2023 21:00,2.57
06-01-2023 22:00,1.98
06-01-2023 23:00,2.11
07-01-2023 00:00,1.98
07-01-2023 01:00,1.71
07-01-2023 02:00,1.44
07-01-2023 03:00,1.26
07-01-2023 04:00,1.35
07-01-2023 05:00,1.38
07-01-2023 06:00,1.52
07-01-2023 07:00,1.56
07-01-2023 08:00,1.37
07-01-2023 09:00,1.49
07-01-2023 10:00,1.68
07-01-2023 11:00,1.82
07-01-2023 12:00,1.815
07-01-2023 13:00,1.81
07-01-2023 14:00,2.24
07-01-2023 15:00,1.75
07-01-2023 16:00,1.61
07-01-2023 17:00,1.51
07-01-2023 18:00,2.48
07-01-2023 19:00,2.95
07-01-2023 20:00,3.29
07-01-2023 21:00,3.21
07-01-2023 22:00,2.54
07-01-2023 23:00,2.54
